| Label | nr. | Gew. | Key | A  | B  | C   | D  | O/D | Mis | Max | Gem | P   | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+----+----+-----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    |     |    |    |     |    | 1   |  88 |  4  | 3.21| 80  | 1.16| 0.29| 45  | 36  | 79 |
| 2     | 2   | 1    |     |    |    |     |    | 0   |   3 |  2  | 1.91| 96  | 0.33| 0.16| 15  | 13  | 80 |
| 3     | 3   | 1    |     |    |    |     |    | 4   | 474 |  3  | 0.88| 29  | 1.12| 0.37| 26  | 17  | 80 |
| 4     | 4   | 1    |     |    |    |     |    | 1   | 125 |  4  | 2.56| 64  | 1.05| 0.26| 41  | 34  | 79 |
| 5     | 5   | 1    |     |    |    |     |    | 4   | 505 |  3  | 1.86| 62  | 1.21| 0.40| 51  | 43  | 79 |
| 6#    | 6   | 1    |     |    |    |     |    | 1   | 130 |  3  | 1.34| 45  | 1.21| 0.40| 45  | 36  | 79 |
| 7     | 7   | 1    |     |    |    |     |    | 5   | 560 |  5  | 2.74| 55  | 1.75| 0.35| 58  | 47  | 78 |
| 8     | 8   | 1    |     |    |    |     |    | 1   | 132 |  2  | 1.74| 87  | 0.60| 0.30| 24  | 19  | 80 |
| 9     | 9   | 1    |     |    |    |     |    | 1   |  81 |  3  | 1.74| 58  | 1.23| 0.41| 39  | 30  | 79 |
| 10    | 10  | 1    |     |    |    |     |    | 4   | 499 |  4  | 2.21| 55  | 1.31| 0.33| 49  | 40  | 79 |
| 11    | 11  | 1    |     |    |    |     |    | 3   | 329 |  2  | 0.75| 37  | 0.78| 0.39| 29  | 22  | 80 |
| 12    | 12  | 1    |     |    |    |     |    | 2   | 183 |  4  | 2.79| 70  | 1.10| 0.28| 39  | 30  | 79 |
| 13#   | 13  | 1    | A   | 52*| 23 | 16  |  9 | 0   |  21 |  1  | 0.52| 52  | 0.50| 0.50| 29  | 25  | 80 |
| 14    | 14  | 1    |     |    |    |     |    | 2   | 223 |  5  | 2.68| 54  | 1.62| 0.32| 53  | 42  | 79 |
| 15    | 15  | 1    |     |    |    |     |    | 2   | 257 |  2  | 1.21| 60  | 0.83| 0.42| 39  | 33  | 79 |
| 16    | 16  | 1    |     |    |    |     |    | 7   | 816 |  4  | 2.34| 59  | 1.77| 0.44| 56  | 44  | 79 |
| 17#   | 17  | 1    |     |    |    |     |    | 4   | 400 |  2  | 1.39| 69  | 0.81| 0.40| 36  | 30  | 79 |
| 18    | 18  | 1    |     |    |    |     |    | 5   | 533 |  3  | 1.59| 53  | 1.12| 0.37| 51  | 44  | 79 |
| 19    | 19  | 1    |     |    |    |     |    | 2   | 253 |  3  | 1.42| 47  | 1.06| 0.35| 44  | 37  | 79 |
| 20#   | 20  | 1    |     |    |    |     |    | 3   | 315 |  4  | 3.11| 78  | 1.21| 0.30| 45  | 36  | 79 |
| 21    | 21  | 1    |     |    |    |     |    | 6   | 664 |  4  | 2.50| 63  | 1.51| 0.38| 51  | 41  | 79 |
| 22    | 22  | 1    |     |    |    |     |    | 7   | 814 |  5  | 2.28| 46  | 1.64| 0.33| 61  | 52  | 78 |
| 23    | 23  | 1    |     |    |    |     |    | 1   |  80 |  2  | 0.75| 38  | 0.63| 0.32| 24  | 18  | 80 |
| 24    | 24  | 1    | B   |  7 | 71*|  9  | 12 | 2   | 171 |  1  | 0.71| 71  | 0.45| 0.45| 28  | 25  | 80 |
| 25    | 25  | 1    | B   | 23 | 57*| 15  |  4 | 2   | 212 |  1  | 0.57| 57  | 0.50| 0.50| 20  | 16  | 80 |
